 ,0
0,Alaska
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Iowa
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Minnesota
11,Mississippi
12,Missouri
13,Nebraska
14,New Hampshire
15,New Mexico
16,North Carolina
17,North Dakota
18,Ohio
19,Pennsylvania
20,Rhode Island
21,South Dakota
22,Tennessee
23,Utah
24,Wisconsin
25,Wyoming
